,decile1b,decile3,decile1,sex,lsat,ugpa,grad,bar1,fulltime,fam_inc,gender,race1,tier
294,5.0,7.0,5.0,1.0,2,0,0,1,1.0,4.0,0,1,4.0
296,3.0,6.0,4.0,1.0,1,0,0,1,1.0,4.0,0,1,3.0
304,3.0,3.0,3.0,1.0,2,0,0,0,1.0,3.0,0,1,4.0
306,2.0,6.0,2.0,1.0,3,0,0,1,1.0,1.0,0,1,5.0
307,3.0,1.0,4.0,2.0,0,0,0,0,1.0,3.0,1,0,3.0
311,5.0,3.0,5.0,1.0,2,0,0,1,1.0,3.0,0,1,3.0
319,9.0,9.0,9.0,1.0,0,0,0,1,1.0,3.0,0,1,5.0
320,6.0,7.0,6.0,2.0,2,0,0,1,1.0,3.0,1,1,3.0
323,5.0,8.0,5.0,1.0,1,0,0,1,1.0,4.0,0,1,5.0
327,1.0,1.0,1.0,2.0,3,0,0,1,1.0,4.0,1,1,5.0
337,4.0,2.0,5.0,1.0,0,0,0,0,1.0,3.0,0,1,1.0
339,2.0,4.0,3.0,1.0,0,0,0,0,1.0,4.0,0,0,3.0
340,4.0,4.0,5.0,2.0,1,0,0,1,1.0,4.0,1,1,4.0
341,3.0,3.0,3.0,2.0,2,0,0,0,1.0,2.0,1,1,4.0
343,3.0,3.0,3.0,2.0,3,0,0,0,1.0,4.0,1,1,6.0
345,6.0,2.0,6.0,2.0,2,0,0,0,1.0,4.0,1,1,3.0
350,4.0,2.0,5.0,1.0,1,0,0,0,1.0,3.0,0,1,3.0
356,2.0,1.0,2.0,2.0,3,0,0,0,1.0,3.0,1,1,5.0
364,9.0,9.0,9.0,1.0,1,0,0,1,1.0,5.0,0,1,2.0
366,5.0,5.0,5.0,2.0,1,0,0,1,1.0,4.0,1,1,4.0
372,1.0,1.0,2.0,2.0,1,0,0,0,1.0,3.0,1,1,3.0
387,6.0,2.0,6.0,1.0,2,0,0,0,1.0,3.0,0,1,4.0
403,3.0,1.0,3.0,2.0,1,0,0,1,1.0,2.0,1,1,4.0
405,9.0,8.0,9.0,2.0,1,0,0,1,1.0,5.0,1,1,5.0
417,2.0,3.0,2.0,1.0,1,0,0,0,1.0,4.0,0,1,4.0
418,6.0,6.0,6.0,1.0,2,0,0,0,1.0,4.0,0,1,3.0
422,2.0,4.0,2.0,1.0,3,0,0,1,1.0,4.0,0,0,5.0
424,4.0,5.0,4.0,1.0,2,0,0,1,1.0,4.0,0,1,4.0
430,9.0,9.0,10.0,1.0,2,0,0,1,1.0,3.0,0,1,2.0
438,9.0,9.0,9.0,2.0,3,0,0,1,1.0,5.0,1,1,5.0
442,3.0,3.0,4.0,1.0,0,0,0,1,1.0,3.0,0,4,4.0
445,2.0,3.0,3.0,2.0,3,0,0,1,1.0,4.0,1,1,5.0
446,6.0,5.0,6.0,1.0,2,0,0,1,2.0,2.0,0,1,3.0
469,2.0,2.0,2.0,1.0,0,0,0,0,1.0,5.0,0,1,3.0
480,9.0,9.0,9.0,1.0,0,0,0,1,1.0,3.0,0,1,4.0
482,10.0,9.0,10.0,1.0,3,0,0,1,2.0,3.0,0,1,3.0
484,1.0,2.0,1.0,1.0,2,0,0,0,1.0,3.0,0,1,4.0
495,1.0,1.0,1.0,1.0,0,0,0,0,1.0,3.0,0,2,3.0
500,2.0,4.0,2.0,1.0,0,0,0,1,1.0,4.0,0,2,3.0
506,1.0,1.0,1.0,1.0,1,0,0,1,1.0,4.0,0,3,6.0
511,2.0,3.0,2.0,1.0,2,0,0,1,1.0,2.0,0,2,4.0
512,3.0,6.0,4.0,1.0,3,0,0,1,1.0,3.0,0,1,5.0
513,4.0,6.0,4.0,2.0,2,0,0,1,1.0,2.0,1,1,3.0
521,1.0,1.0,1.0,1.0,2,0,0,0,1.0,5.0,0,1,5.0
527,3.0,2.0,3.0,2.0,2,0,0,0,1.0,4.0,1,1,3.0
528,9.0,8.0,9.0,1.0,1,0,0,1,1.0,2.0,0,1,4.0
530,2.0,1.0,2.0,1.0,0,0,0,0,1.0,3.0,0,1,3.0
535,8.0,8.0,8.0,2.0,2,0,0,1,1.0,3.0,1,1,3.0
539,9.0,10.0,9.0,1.0,1,0,0,1,1.0,4.0,0,1,5.0
541,5.0,3.0,5.0,2.0,2,0,0,1,1.0,4.0,1,1,5.0
552,2.0,2.0,3.0,1.0,0,0,0,0,1.0,3.0,0,0,5.0
554,3.0,4.0,4.0,1.0,2,0,0,1,1.0,4.0,0,1,4.0
558,2.0,2.0,2.0,2.0,1,0,0,1,1.0,4.0,1,1,4.0
568,2.0,1.0,2.0,1.0,0,0,0,0,1.0,3.0,0,1,3.0
569,8.0,6.0,8.0,2.0,1,0,0,1,1.0,5.0,1,1,5.0
576,5.0,5.0,5.0,2.0,2,0,0,1,1.0,4.0,1,1,3.0
589,2.0,2.0,2.0,1.0,0,0,0,0,1.0,3.0,0,3,3.0
602,2.0,4.0,3.0,2.0,0,0,0,0,1.0,3.0,1,1,3.0
603,6.0,8.0,7.0,1.0,3,0,0,1,1.0,4.0,0,1,4.0
621,4.0,3.0,4.0,2.0,0,0,0,1,1.0,4.0,1,1,3.0
624,6.0,7.0,6.0,2.0,3,0,0,1,1.0,2.0,1,1,5.0
632,7.0,8.0,7.0,1.0,2,0,0,1,1.0,3.0,0,1,3.0
637,8.0,6.0,8.0,1.0,2,0,0,1,1.0,3.0,0,1,3.0
642,10.0,7.0,10.0,1.0,3,0,0,1,1.0,3.0,0,1,6.0
644,8.0,7.0,9.0,2.0,2,0,0,1,1.0,4.0,1,1,3.0
645,7.0,7.0,7.0,1.0,0,0,0,1,1.0,4.0,0,1,5.0
650,9.0,9.0,9.0,2.0,2,0,0,1,1.0,4.0,1,1,4.0
658,6.0,7.0,6.0,2.0,3,0,0,1,1.0,4.0,1,1,5.0
663,2.0,3.0,2.0,1.0,2,0,0,0,1.0,1.0,0,3,5.0
669,1.0,1.0,1.0,1.0,0,0,0,0,1.0,4.0,0,1,5.0
673,7.0,5.0,7.0,1.0,2,0,0,1,1.0,3.0,0,1,4.0
675,1.0,2.0,1.0,1.0,2,0,0,0,1.0,2.0,0,4,4.0
676,10.0,6.0,10.0,1.0,1,0,0,1,1.0,2.0,0,1,6.0
679,1.0,1.0,1.0,2.0,0,0,0,0,1.0,3.0,1,3,5.0
686,3.0,4.0,4.0,2.0,0,0,0,0,1.0,3.0,1,1,2.0
689,3.0,4.0,4.0,2.0,2,0,0,1,1.0,3.0,1,1,4.0
690,10.0,10.0,10.0,1.0,3,0,0,1,1.0,3.0,0,1,4.0
700,6.0,4.0,6.0,1.0,1,0,0,0,1.0,4.0,0,1,4.0
704,4.0,7.0,5.0,1.0,0,0,0,0,1.0,3.0,0,1,2.0
706,3.0,3.0,4.0,1.0,1,0,0,1,2.0,3.0,0,1,4.0
708,9.0,6.0,9.0,1.0,3,0,0,1,1.0,4.0,0,1,4.0
709,8.0,9.0,8.0,1.0,1,0,0,1,1.0,4.0,0,1,4.0
712,10.0,9.0,10.0,2.0,1,0,0,1,1.0,2.0,1,2,6.0
720,5.0,5.0,5.0,2.0,1,0,0,1,1.0,4.0,1,1,5.0
728,4.0,5.0,5.0,2.0,2,0,0,0,1.0,4.0,1,4,3.0
734,9.0,10.0,9.0,1.0,1,0,0,1,1.0,5.0,0,1,6.0
741,5.0,5.0,5.0,1.0,1,0,0,1,1.0,4.0,0,1,5.0
746,4.0,5.0,4.0,1.0,0,0,0,0,1.0,3.0,0,3,4.0
749,5.0,5.0,5.0,2.0,1,0,0,0,1.0,2.0,1,1,4.0
756,5.0,6.0,6.0,1.0,2,0,0,1,1.0,3.0,0,1,3.0
760,5.0,8.0,5.0,2.0,2,0,0,1,1.0,3.0,1,1,3.0
765,10.0,10.0,10.0,1.0,2,0,0,1,1.0,1.0,0,1,3.0
767,7.0,6.0,8.0,2.0,1,0,0,1,1.0,2.0,1,1,4.0
768,8.0,8.0,8.0,1.0,2,0,0,1,1.0,4.0,0,1,4.0
769,5.0,6.0,5.0,1.0,0,0,0,1,1.0,4.0,0,1,3.0
778,3.0,3.0,4.0,2.0,3,0,0,1,1.0,4.0,1,1,6.0
783,3.0,4.0,3.0,1.0,1,0,0,1,1.0,5.0,0,1,3.0
789,2.0,3.0,3.0,2.0,3,0,0,0,1.0,4.0,1,1,6.0
795,5.0,4.0,5.0,2.0,1,0,0,1,1.0,4.0,1,1,4.0
805,8.0,6.0,8.0,1.0,0,0,0,0,2.0,4.0,0,1,5.0
810,2.0,1.0,2.0,2.0,0,0,0,0,1.0,4.0,1,1,3.0
813,5.0,5.0,6.0,2.0,1,0,0,1,1.0,4.0,1,1,4.0
825,1.0,2.0,1.0,1.0,0,0,0,0,1.0,4.0,0,1,5.0
832,6.0,5.0,6.0,1.0,0,0,0,0,1.0,3.0,0,4,5.0
837,1.0,1.0,1.0,1.0,0,0,0,0,1.0,2.0,0,3,5.0
846,10.0,10.0,10.0,1.0,0,0,0,1,1.0,3.0,0,1,3.0
847,7.0,6.0,7.0,2.0,2,0,0,1,1.0,3.0,1,1,4.0
852,9.0,8.0,9.0,2.0,0,0,0,1,1.0,2.0,1,0,3.0
856,9.0,8.0,9.0,1.0,1,0,0,1,1.0,5.0,0,1,6.0
857,2.0,2.0,2.0,1.0,2,0,0,0,1.0,4.0,0,1,5.0
861,8.0,8.0,8.0,2.0,3,0,0,1,1.0,4.0,1,1,5.0
867,2.0,1.0,2.0,2.0,2,0,0,0,2.0,3.0,1,1,5.0
868,3.0,3.0,3.0,2.0,0,0,0,0,1.0,2.0,1,0,4.0
880,7.0,8.0,7.0,1.0,3,0,0,1,1.0,4.0,0,1,6.0
884,9.0,8.0,9.0,2.0,3,0,0,1,1.0,2.0,1,1,4.0
889,1.0,1.0,1.0,2.0,0,0,0,0,1.0,1.0,1,4,5.0
894,10.0,9.0,10.0,2.0,1,0,0,1,1.0,4.0,1,1,3.0
899,8.0,7.0,8.0,1.0,2,0,0,1,1.0,1.0,0,1,4.0
900,8.0,8.0,8.0,1.0,3,0,0,1,1.0,4.0,0,1,5.0
904,9.0,9.0,9.0,2.0,3,0,0,1,1.0,4.0,1,1,4.0
907,6.0,6.0,6.0,2.0,3,0,0,1,1.0,2.0,1,1,5.0
936,8.0,8.0,8.0,1.0,0,0,0,1,1.0,3.0,0,1,3.0
943,1.0,2.0,1.0,1.0,0,0,0,0,1.0,3.0,0,1,3.0
946,1.0,1.0,1.0,2.0,3,0,0,1,1.0,5.0,1,1,6.0
953,2.0,10.0,2.0,2.0,0,0,0,0,1.0,3.0,1,1,5.0
954,10.0,10.0,10.0,1.0,1,0,0,1,1.0,4.0,0,1,3.0
957,1.0,3.0,1.0,1.0,2,0,0,0,1.0,4.0,0,1,4.0
958,3.0,1.0,3.0,1.0,2,0,0,1,1.0,4.0,0,1,4.0
968,4.0,6.0,4.0,2.0,2,0,0,0,2.0,2.0,1,1,3.0
977,2.0,2.0,3.0,1.0,0,0,0,1,2.0,4.0,0,1,3.0
981,6.0,4.0,6.0,1.0,2,0,0,0,1.0,4.0,0,1,5.0
994,8.0,6.0,8.0,2.0,2,0,0,0,1.0,2.0,1,1,3.0
1002,3.0,3.0,4.0,1.0,2,0,0,1,1.0,3.0,0,2,4.0
1005,8.0,9.0,8.0,2.0,0,0,0,1,1.0,3.0,1,4,3.0
1008,4.0,4.0,5.0,1.0,0,0,0,1,1.0,3.0,0,2,5.0
1013,3.0,4.0,3.0,2.0,0,0,0,1,1.0,4.0,1,3,6.0
1015,2.0,3.0,2.0,2.0,0,0,0,0,1.0,4.0,1,1,4.0
1024,1.0,2.0,1.0,1.0,2,0,0,0,1.0,4.0,0,1,4.0
1027,2.0,2.0,2.0,1.0,1,0,0,0,1.0,4.0,0,1,4.0
1028,5.0,5.0,5.0,2.0,1,0,0,1,1.0,3.0,1,1,5.0
1031,8.0,4.0,8.0,2.0,0,0,0,1,1.0,4.0,1,1,3.0
1037,1.0,1.0,1.0,2.0,1,0,0,0,1.0,4.0,1,1,3.0
1039,9.0,9.0,9.0,1.0,0,0,0,0,1.0,1.0,0,3,1.0
1041,8.0,8.0,8.0,2.0,1,0,0,1,1.0,4.0,1,1,4.0
1042,3.0,9.0,3.0,2.0,3,0,0,1,1.0,4.0,1,1,4.0
1044,4.0,6.0,4.0,1.0,1,0,0,1,1.0,5.0,0,1,5.0
1054,4.0,6.0,4.0,2.0,3,0,0,1,1.0,3.0,1,1,4.0
1056,3.0,3.0,4.0,1.0,2,0,0,0,1.0,4.0,0,2,4.0
1060,7.0,5.0,7.0,1.0,2,0,0,1,1.0,4.0,0,1,4.0
1066,1.0,1.0,2.0,1.0,0,0,0,0,1.0,4.0,0,1,3.0
1076,3.0,3.0,3.0,1.0,0,0,0,0,1.0,3.0,0,1,2.0
1084,1.0,2.0,1.0,2.0,2,0,0,0,1.0,5.0,1,1,3.0
1089,6.0,6.0,6.0,2.0,3,0,0,1,1.0,4.0,1,1,6.0
1090,9.0,9.0,9.0,2.0,3,0,0,1,1.0,4.0,1,1,5.0
1096,7.0,7.0,7.0,1.0,2,0,0,1,1.0,4.0,0,1,2.0
1100,1.0,1.0,1.0,2.0,2,0,0,0,1.0,1.0,1,1,3.0
1102,6.0,8.0,6.0,1.0,1,0,0,1,2.0,4.0,0,1,5.0
1105,5.0,5.0,5.0,1.0,2,0,0,1,1.0,3.0,0,1,3.0
1107,9.0,9.0,9.0,1.0,1,0,0,1,1.0,4.0,0,1,3.0
1111,4.0,5.0,5.0,2.0,0,0,0,0,1.0,3.0,1,1,3.0
1125,1.0,2.0,1.0,1.0,0,0,0,0,1.0,4.0,0,1,3.0
1126,8.0,8.0,8.0,2.0,2,0,0,1,1.0,4.0,1,1,4.0
1127,7.0,6.0,7.0,2.0,3,0,0,1,1.0,3.0,1,1,4.0
1136,7.0,5.0,7.0,1.0,0,0,0,0,1.0,3.0,0,1,4.0
1141,5.0,8.0,5.0,2.0,2,0,0,1,1.0,3.0,1,1,2.0
1143,4.0,4.0,4.0,2.0,2,0,0,1,1.0,4.0,1,1,3.0
1145,6.0,7.0,6.0,1.0,1,0,0,1,1.0,4.0,0,1,3.0
1157,9.0,9.0,9.0,2.0,1,0,0,1,1.0,3.0,1,1,3.0
1159,3.0,2.0,3.0,1.0,0,0,0,0,2.0,3.0,0,1,5.0
1167,8.0,8.0,8.0,1.0,3,0,0,1,1.0,4.0,0,1,5.0
1170,9.0,10.0,9.0,1.0,3,0,0,1,1.0,4.0,0,1,4.0
1174,7.0,8.0,7.0,2.0,2,0,0,1,1.0,4.0,1,1,3.0
1191,4.0,4.0,4.0,1.0,0,0,0,0,1.0,4.0,0,1,4.0
1193,9.0,9.0,9.0,1.0,2,0,0,1,1.0,3.0,0,1,3.0
1202,1.0,1.0,2.0,1.0,1,0,0,0,1.0,4.0,0,1,4.0
1218,3.0,1.0,3.0,2.0,2,0,0,0,1.0,3.0,1,0,6.0
1226,8.0,8.0,8.0,1.0,0,0,0,1,1.0,3.0,0,3,4.0
1230,1.0,2.0,1.0,1.0,2,0,0,0,1.0,4.0,0,1,5.0
1232,4.0,3.0,5.0,2.0,3,0,0,1,1.0,4.0,1,1,6.0
1233,5.0,5.0,6.0,1.0,2,0,0,1,1.0,4.0,0,1,3.0
1236,4.0,5.0,5.0,2.0,1,0,0,1,1.0,4.0,1,1,4.0
1242,5.0,5.0,5.0,2.0,1,0,0,1,1.0,4.0,1,1,4.0
1245,3.0,4.0,3.0,1.0,3,0,0,1,1.0,4.0,0,1,5.0
1251,6.0,4.0,6.0,2.0,0,0,0,1,1.0,3.0,1,1,3.0
1253,6.0,6.0,7.0,2.0,3,0,0,1,1.0,4.0,1,1,6.0
1257,4.0,6.0,4.0,2.0,0,0,0,0,1.0,2.0,1,2,3.0
1264,9.0,10.0,9.0,1.0,2,0,0,1,2.0,4.0,0,1,3.0
1280,9.0,7.0,9.0,2.0,3,0,0,1,1.0,3.0,1,1,5.0
1283,3.0,5.0,3.0,1.0,1,0,0,1,1.0,3.0,0,1,4.0
1293,3.0,4.0,3.0,2.0,2,0,0,1,1.0,4.0,1,1,4.0
1298,4.0,4.0,5.0,1.0,2,0,0,1,1.0,4.0,0,1,2.0
1301,3.0,3.0,3.0,2.0,0,0,0,1,1.0,4.0,1,1,4.0
1303,1.0,1.0,2.0,1.0,0,0,0,0,1.0,4.0,0,1,3.0
1308,3.0,2.0,3.0,2.0,0,0,0,0,1.0,5.0,1,1,5.0
1309,4.0,3.0,4.0,2.0,0,0,0,1,1.0,4.0,1,1,3.0
1310,8.0,7.0,8.0,1.0,3,0,0,1,1.0,3.0,0,1,4.0
1314,8.0,7.0,8.0,1.0,2,0,0,1,1.0,5.0,0,1,3.0
1320,4.0,5.0,5.0,2.0,1,0,0,0,1.0,3.0,1,0,4.0
1325,4.0,4.0,4.0,1.0,1,0,0,0,1.0,3.0,0,1,4.0
1351,2.0,2.0,3.0,1.0,0,0,0,0,1.0,3.0,0,1,2.0
1355,10.0,10.0,10.0,2.0,1,0,0,1,1.0,2.0,1,0,4.0
1358,3.0,4.0,3.0,1.0,0,0,0,0,1.0,3.0,0,1,3.0
1370,9.0,9.0,9.0,1.0,1,0,0,1,1.0,3.0,0,1,4.0
1380,6.0,7.0,7.0,1.0,2,0,0,0,1.0,3.0,0,1,2.0
1381,1.0,1.0,1.0,2.0,0,0,0,1,1.0,3.0,1,1,5.0
1388,8.0,9.0,8.0,2.0,1,0,0,1,1.0,3.0,1,1,4.0
1395,6.0,6.0,6.0,2.0,2,0,0,1,1.0,5.0,1,1,3.0
1398,8.0,10.0,9.0,2.0,2,0,0,1,1.0,2.0,1,1,5.0
1404,6.0,8.0,7.0,1.0,2,0,0,1,1.0,3.0,0,1,3.0
1409,5.0,5.0,5.0,1.0,1,0,0,1,1.0,4.0,0,1,3.0
1411,6.0,6.0,6.0,2.0,2,0,0,0,2.0,3.0,1,1,3.0
1415,7.0,9.0,7.0,1.0,2,0,0,1,1.0,4.0,0,1,4.0
1419,3.0,2.0,3.0,2.0,2,0,0,0,1.0,4.0,1,1,6.0
1431,7.0,5.0,7.0,1.0,1,0,0,1,1.0,4.0,0,1,4.0
1435,1.0,2.0,1.0,2.0,0,0,0,0,1.0,4.0,1,1,3.0
1448,3.0,3.0,3.0,2.0,3,0,0,1,1.0,3.0,1,1,4.0
1455,8.0,9.0,8.0,1.0,2,0,0,1,1.0,4.0,0,1,4.0
1470,1.0,1.0,2.0,1.0,1,0,0,0,1.0,2.0,0,1,5.0
1472,2.0,1.0,2.0,1.0,3,0,0,1,1.0,5.0,0,1,6.0
1477,4.0,4.0,4.0,2.0,1,0,0,1,1.0,4.0,1,1,5.0
1478,7.0,5.0,7.0,1.0,2,0,0,1,2.0,3.0,0,1,4.0
1479,1.0,3.0,2.0,2.0,2,0,0,0,1.0,4.0,1,1,4.0
1484,4.0,4.0,4.0,2.0,0,0,0,1,1.0,4.0,1,1,3.0
1489,1.0,1.0,1.0,1.0,0,0,0,1,1.0,3.0,0,3,6.0
1495,2.0,1.0,2.0,2.0,0,0,0,0,1.0,4.0,1,1,3.0
1497,3.0,2.0,3.0,1.0,0,0,0,0,1.0,4.0,0,1,3.0
1502,9.0,9.0,9.0,1.0,2,0,0,1,2.0,3.0,0,1,3.0
1503,5.0,3.0,6.0,1.0,0,0,0,0,1.0,4.0,0,1,3.0
1504,6.0,5.0,7.0,2.0,2,0,0,0,1.0,2.0,1,1,3.0
1506,1.0,1.0,2.0,2.0,0,0,0,0,1.0,3.0,1,1,2.0
1532,4.0,3.0,4.0,1.0,2,0,0,1,1.0,4.0,0,1,3.0
1538,10.0,10.0,10.0,2.0,3,0,0,1,1.0,3.0,1,1,6.0
1558,4.0,3.0,4.0,2.0,0,0,0,1,1.0,3.0,1,1,2.0
1568,7.0,7.0,7.0,1.0,0,0,0,0,1.0,3.0,0,1,5.0
1569,2.0,2.0,2.0,1.0,0,0,0,0,1.0,2.0,0,0,6.0
1578,5.0,4.0,5.0,2.0,2,0,0,0,1.0,3.0,1,1,3.0
1593,3.0,2.0,4.0,2.0,0,0,0,0,1.0,4.0,1,1,3.0
1596,5.0,4.0,5.0,1.0,2,0,0,1,1.0,4.0,0,1,5.0
1621,7.0,7.0,7.0,1.0,1,0,0,1,2.0,3.0,0,1,3.0
1622,8.0,10.0,8.0,1.0,2,0,0,1,1.0,4.0,0,1,4.0
1623,9.0,9.0,9.0,1.0,2,0,0,1,1.0,5.0,0,1,3.0
1627,3.0,2.0,3.0,1.0,1,0,0,1,1.0,4.0,0,1,6.0
1635,8.0,7.0,8.0,1.0,1,0,0,0,1.0,3.0,0,1,5.0
1637,7.0,5.0,7.0,2.0,2,0,0,0,1.0,2.0,1,1,4.0
1641,1.0,1.0,1.0,2.0,2,0,0,1,1.0,2.0,1,1,3.0
1642,10.0,10.0,10.0,2.0,1,0,0,1,1.0,5.0,1,1,3.0
1645,3.0,1.0,3.0,2.0,2,0,0,0,1.0,4.0,1,1,4.0
1649,4.0,4.0,4.0,1.0,2,0,0,1,1.0,5.0,0,1,4.0
1650,1.0,1.0,1.0,1.0,1,0,0,0,1.0,3.0,0,1,4.0
1652,1.0,1.0,1.0,1.0,0,0,0,1,1.0,2.0,0,3,6.0
1653,7.0,5.0,7.0,1.0,2,0,0,0,1.0,4.0,0,0,5.0
1664,6.0,7.0,6.0,1.0,0,0,0,1,1.0,5.0,0,1,2.0
1669,9.0,9.0,9.0,2.0,3,0,0,1,1.0,5.0,1,2,6.0
1675,2.0,1.0,2.0,2.0,2,0,0,0,1.0,3.0,1,1,4.0
1677,1.0,6.0,1.0,1.0,1,0,0,1,1.0,4.0,0,1,6.0
1686,10.0,10.0,10.0,2.0,2,0,0,1,1.0,4.0,1,1,4.0
1690,9.0,9.0,9.0,1.0,2,0,0,1,1.0,3.0,0,1,4.0
1692,4.0,3.0,4.0,1.0,2,0,0,0,1.0,3.0,0,2,4.0
1695,1.0,1.0,1.0,1.0,2,0,0,0,1.0,1.0,0,2,4.0
1706,4.0,5.0,4.0,1.0,1,0,0,0,2.0,3.0,0,1,5.0
1710,8.0,9.0,9.0,2.0,3,0,0,1,1.0,4.0,1,1,4.0
1716,1.0,2.0,1.0,2.0,2,0,0,0,1.0,2.0,1,1,3.0
1717,7.0,8.0,7.0,2.0,3,0,0,1,1.0,4.0,1,1,4.0
1722,8.0,10.0,8.0,1.0,1,0,0,1,1.0,4.0,0,1,4.0
1725,6.0,6.0,7.0,2.0,2,0,0,1,1.0,2.0,1,1,4.0
1746,6.0,7.0,7.0,2.0,3,0,0,0,1.0,5.0,1,1,4.0
1749,10.0,9.0,10.0,1.0,1,0,0,1,1.0,3.0,0,1,4.0
1775,6.0,4.0,6.0,2.0,1,0,0,1,1.0,2.0,1,1,4.0
1782,2.0,1.0,2.0,1.0,0,0,0,1,2.0,3.0,0,1,3.0
1788,9.0,9.0,9.0,1.0,1,0,0,1,1.0,4.0,0,1,5.0
1796,5.0,5.0,5.0,1.0,0,0,0,0,1.0,4.0,0,1,3.0
1800,10.0,10.0,10.0,1.0,3,0,0,1,1.0,4.0,0,1,6.0
1801,3.0,3.0,3.0,1.0,0,0,0,0,1.0,5.0,0,1,2.0
1804,5.0,4.0,5.0,2.0,0,0,0,0,1.0,3.0,1,1,2.0
1810,6.0,7.0,6.0,2.0,2,0,0,1,2.0,4.0,1,1,3.0
1815,10.0,10.0,10.0,1.0,3,0,0,1,1.0,4.0,0,1,4.0
1819,3.0,5.0,3.0,2.0,1,0,0,1,1.0,4.0,1,1,3.0
1824,8.0,8.0,8.0,2.0,1,0,0,1,1.0,2.0,1,1,5.0
1831,3.0,5.0,3.0,1.0,0,0,0,0,1.0,4.0,0,1,5.0
